  vx           vy
  0.10284E-04  0.92797E-05
  0.96083E-05  0.77192E-05
  0.90929E-05  0.61686E-05
  0.88550E-05  0.43011E-05
  0.88514E-05  0.23783E-05
  0.11114E-04  0.65747E-01
  0.12404E+00  0.10791E+00
  0.15028E+00  0.20205E+00
  0.15348E+00  0.25435E+00
  0.14007E+00  0.29405E+00
  0.11935E+00  0.32182E+00
  0.93339E-01  0.34128E+00
  0.63954E-01  0.35406E+00
  0.32475E-01  0.36132E+00
 -0.16342E-13  0.36367E+00
 -0.43401E-13  0.40297E+01
  0.55978E+00  0.52884E+01
  0.53585E+01  0.13096E-03
  0.26554E+01  0.74164E-04
  0.18305E+01  0.65816E-04
  0.14380E+01  0.55840E-04
  0.11985E+01  0.48494E-04
  0.10347E+01  0.41655E-04
  0.90776E+00  0.35146E-04
  0.79533E+00  0.28623E-04
  0.67905E+00  0.22002E-04
  0.53192E+00  0.13688E-04
  0.23954E+00  0.23954E+00
  0.25255E+00  0.47178E+00
  0.33866E+00  0.56950E+00
  0.38759E+00  0.64591E+00
  0.43073E+00  0.70909E+00
  0.47265E+00  0.77087E+00
  0.51508E+00  0.85891E+00
  0.61035E+00  0.91016E+00
  0.57139E+00  0.15968E+01
  0.22757E+01  0.45213E-04
  0.14251E+01  0.21013E-04
  0.11541E+01  0.17698E-04
  0.10184E+01  0.14123E-04
  0.92851E+00  0.11867E-04
  0.85994E+00  0.99744E-05
  0.79959E+00  0.83158E-05
  0.73986E+00  0.66240E-05
  0.67529E+00  0.50658E-05
  0.60463E+00  0.39680E-06
  0.52962E+00  -0.22493E+00
  0.21538E+00  0.11771E+00
  0.23378E+00  0.20195E+00
  0.20382E+00  0.27244E+00
  0.17669E+00  0.31772E+00
  0.14490E+00  0.35035E+00
  0.11076E+00  0.37292E+00
  0.74774E-01  0.38777E+00
  0.37661E-01  0.39619E+00
  0.28478E-14  0.39892E+00
 -0.12307E-12  0.32901E+01
  0.13000E+01  0.30000E+01
  0.17564E+01  0.26367E+01
  0.22638E+01  0.84490E+00
  0.16715E+01  0.45208E+00
  0.13719E+01  0.26619E+00
  0.11647E+01  0.17913E+00
  0.10176E+01  0.13295E+00
  0.90093E+00  0.11092E+00
  0.79681E+00  0.10587E+00
  0.69120E+00  0.11585E+00
  0.56585E+00  0.16028E+00
  0.47178E+00  0.25255E+00
  0.41409E+00  0.41409E+00
  0.42770E+00  0.52944E+00
  0.45783E+00  0.60721E+00
  0.49228E+00  0.66965E+00
  0.53548E+00  0.72753E+00
  0.60338E+00  0.78017E+00
  0.68784E+00  0.88161E+00
  0.10247E+01  0.86306E+00
  0.11255E+01  0.84435E+00
  0.13053E+01  0.27380E+00
  0.11048E+01  0.15408E+00
  0.99853E+00  0.96976E-01
  0.91912E+00  0.71695E-01
  0.85629E+00  0.60093E-01
  0.79952E+00  0.57100E-01
  0.74240E+00  0.59753E-01
  0.67927E+00  0.68387E-01
  0.61046E+00  0.67330E-01
  0.48984E+00  0.10321E+00
  0.39813E+00  0.13862E+00
  0.30622E+00  0.24529E+00
  0.26143E+00  0.30709E+00
  0.21617E+00  0.35468E+00
  0.17310E+00  0.38839E+00
  0.12994E+00  0.41213E+00
  0.86712E-01  0.42776E+00
  0.43381E-01  0.43663E+00
  0.14754E-14  0.43951E+00
 -0.26208E-13  0.24182E+01
  0.66322E+00  0.22554E+01
  0.12398E+01  0.16829E+01
  0.13693E+01  0.12150E+01
  0.13618E+01  0.70694E+00
  0.12051E+01  0.46177E+00
  0.10778E+01  0.32108E+00
  0.97186E+00  0.24420E+00
  0.88237E+00  0.20623E+00
  0.80018E+00  0.19689E+00
  0.71820E+00  0.21368E+00
  0.63926E+00  0.25951E+00
  0.56950E+00  0.33866E+00
  0.52944E+00  0.42770E+00
  0.51516E+00  0.51516E+00
  0.52306E+00  0.58390E+00
  0.54531E+00  0.63662E+00
  0.58376E+00  0.67743E+00
  0.64252E+00  0.71136E+00
  0.74947E+00  0.72399E+00
  0.86153E+00  0.69817E+00
  0.10050E+01  0.53512E+00
  0.10233E+01  0.40443E+00
  0.10104E+01  0.24581E+00
  0.94837E+00  0.17132E+00
  0.89544E+00  0.13071E+00
  0.84705E+00  0.11233E+00
  0.80031E+00  0.10843E+00
  0.75048E+00  0.11564E+00
  0.69394E+00  0.13074E+00
  0.62272E+00  0.15503E+00
  0.54379E+00  0.18808E+00
  0.45485E+00  0.24612E+00
  0.38009E+00  0.30356E+00
  0.31310E+00  0.36080E+00
  0.25553E+00  0.40402E+00
  0.20122E+00  0.43639E+00
  0.14927E+00  0.45925E+00
  0.98752E-01  0.47436E+00
  0.49154E-01  0.48294E+00
  0.13181E-13  0.48572E+00
 -0.12002E-13  0.17999E+01
  0.44352E+00  0.16948E+01
  0.77348E+00  0.14448E+01
  0.98261E+00  0.10855E+01
  0.10336E+01  0.78721E+00
  0.10161E+01  0.55416E+00
  0.96460E+00  0.40707E+00
  0.91021E+00  0.31886E+00
  0.85692E+00  0.27446E+00
  0.80395E+00  0.26407E+00
  0.74977E+00  0.28251E+00
  0.69516E+00  0.32610E+00
  0.64591E+00  0.38759E+00
  0.60721E+00  0.45783E+00
  0.58390E+00  0.52306E+00
  0.57613E+00  0.57613E+00
  0.58412E+00  0.61409E+00
