vx  vy
0.26687E-04  0.28242E-04
0.23338E-04  0.24386E-04
0.20184E-04  0.17665E-04
0.22613E-04  0.79786E+00
0.49073E+00  0.84016E+00
0.80014E+00  0.90613E+00
0.10337E+01  0.74295E+00
0.97398E+00  0.54471E+00
0.63675E+00  0.16851E+00
0.36173E-04  0.15580E-05
0.30539E-04  -0.30311E-05
0.23295E-04  0.13054E-05
0.20046E-04  0.56279E-05
0.22631E-04  0.82400E-05
0.23525E-04  0.96224E+00
0.31141E+00  0.86450E+00
0.54481E+00  0.68600E+00
0.86265E+00  0.59581E+00
0.10354E+01  0.56791E+00
0.12582E+01  0.16232E+00
0.11306E+01  0.14927E+00
0.90152E+00  0.24235E+00
0.70392E+00  0.29202E+00
0.40642E+00  0.39004E+00
0.17363E+00  0.47816E+00
0.78678E-05  0.52214E-05
0.63911E-05  0.81107E-05
0.54700E-05  0.99142E-05
0.51267E-05  0.10451E-04
0.51062E-05  0.97427E-05
0.55556E-05  0.76303E+00
0.17550E-01  0.74682E+00
0.16124E-01  0.72131E+00
0.67286E-14  0.70660E+00
0.58466E-13  0.22958E+01
-0.26205E+00  0.21097E+01
-0.10715E+01  0.18915E+01
-0.25258E-01  0.93938E+00
0.56043E+00  0.18816E+01
0.36953E+01  0.62486E-04
0.33578E+01  0.31623E-04
0.30989E+01  0.32671E-04
0.16196E+01  0.34762E-04
0.83731E+00  0.17369E-04
0.55815E+00  0.10761E+00
0.59410E+00  0.52046E+00
0.88748E+00  0.64350E+00
0.87364E+00  0.77785E+00
0.82278E+00  0.70723E+00
0.45690E+00  0.63408E+00
0.35366E-04  0.52841E-05
0.29721E-04  0.51543E-05
0.25659E-04  0.52573E-05
0.23164E-04  0.64925E-05
0.22424E-04  0.75216E-05
0.24261E-04  0.67934E+00
0.18950E+00  0.60727E+00
0.36776E+00  0.48314E+00
0.68570E+00  0.32327E+00
0.96250E+00  0.20573E+00
0.11229E+01  0.15343E+00
0.12249E+01  0.23698E+00
0.14253E+01  0.34751E+00
0.71217E+00  0.71397E+00
0.46275E+00  0.63644E+00
