  vx           vy
  0.15013E+00  0.89027E-01
  0.14382E+00  0.84194E-01
  0.13750E+00  0.80148E-01
  0.13117E+00  0.76786E-01
  0.12483E+00  0.74021E-01
  0.11847E+00  0.71775E-01
  0.11206E+00  0.69976E-01
  0.10564E+00  0.68574E-01
  0.99161E-01  0.67503E-01
  0.92614E-01  0.66719E-01
  0.85991E-01  0.66175E-01
  0.79285E-01  0.65832E-01
  0.72488E-01  0.65651E-01
  0.65598E-01  0.65598E-01
  0.58612E-01  0.65641E-01
  0.51532E-01  0.65751E-01
  0.44362E-01  0.65902E-01
  0.37108E-01  0.66070E-01
  0.29782E-01  0.66236E-01
  0.22393E-01  0.66383E-01
  0.14956E-01  0.66498E-01
  0.74865E-02  0.66571E-01
  0.52120E-16  0.66596E-01
 -0.00000E+00  0.34178E+00
  0.34469E-01  0.33843E+00
  0.66968E-01  0.32876E+00
  0.95886E-01  0.31385E+00
  0.12020E+00  0.29518E+00
  0.13952E+00  0.27429E+00
  0.15400E+00  0.25260E+00
  0.16410E+00  0.23119E+00
  0.17048E+00  0.21089E+00
  0.17387E+00  0.19197E+00
  0.17486E+00  0.17486E+00
  0.17403E+00  0.15955E+00
  0.17184E+00  0.14601E+00
  0.16863E+00  0.13413E+00
  0.16469E+00  0.12379E+00
  0.16021E+00  0.11483E+00
  0.15536E+00  0.10711E+00
  0.15023E+00  0.10050E+00
  0.14490E+00  0.94876E-01
  0.13943E+00  0.90121E-01
  0.13383E+00  0.86134E-01
  0.12814E+00  0.82825E-01
  0.12235E+00  0.80112E-01
  0.11648E+00  0.77922E-01
  0.11050E+00  0.76188E-01
  0.10445E+00  0.74860E-01
  0.98282E-01  0.73872E-01
  0.92001E-01  0.73180E-01
  0.85603E-01  0.72737E-01
  0.79080E-01  0.72500E-01
  0.72430E-01  0.72430E-01
  0.65651E-01  0.72488E-01
  0.58745E-01  0.72642E-01
  0.51715E-01  0.72858E-01
  0.44570E-01  0.73107E-01
  0.37319E-01  0.73365E-01
  0.29974E-01  0.73608E-01
  0.22552E-01  0.73817E-01
  0.15069E-01  0.73978E-01
  0.75451E-02  0.74079E-01
  0.52532E-16  0.74113E-01
 -0.00000E+00  0.31004E+00
  0.28717E-01  0.30753E+00
  0.56073E-01  0.30026E+00
